"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__SEGTABEND__","2277:02d8","Data Label","Global","User Defined","1","0"
"__EXENAME__","2277:02d8","Data Label","Global","User Defined","1","0"
"FUN_22c4_005c","22c4:005c","Function","Global","Default","2","0"
"FUN_2315_0020","2315:0020","Function","Global","Default","1","0"
"FUN_2315_0039","2315:0039","Function","Global","Default","3","0"
"FUN_2322_0057","2322:0057","Function","Global","Default","1","0"
"FUN_232e_005d","232e:005d","Function","Global","Default","1","0"
"FUN_2356_0020","2356:0020","Function","Global","Default","1","0"
"OvrExtExitStub","237f:0034","Function","Global","User Defined","1","0"
"FUN_2391_002f","2391:002f","Function","Global","Default","1","0"
"FUN_2391_0052","2391:0052","Function","Global","Default","2","0"
"FUN_23b6_0025","23b6:0025","Function","Global","Default","1","0"
"FUN_23d5_005c","23d5:005c","Function","Global","Default","5","0"
"FUN_23d5_0084","23d5:0084","Function","Global","Default","2","0"
"FUN_23d5_008e","23d5:008e","Function","Global","Default","3","0"
"FUN_23e3_0020","23e3:0020","Function","Global","Default","1","0"
"FUN_2400_0020","2400:0020","Function","Global","Default","4","0"
"DATASEG","2410:0000","Data Label","Global","User Defined","0","0"
"DGROUP","2410:0000","Data Label","Global","User Defined","0","0"
"_DATA","2410:0000","Data Label","Global","User Defined","12","0"
"__C0_ASM_CopyRight","2410:0004","Data Label","Global","User Defined","3","6"
"PSPEnv","2410:002c","Data Label","Global","User Defined","0","7"
"__C0argc","2410:006b","Data Label","Global","User Defined","2","0"
"__C0argv","2410:006d","Data Label","Global","User Defined","2","1"
"__C0argv_2","2410:006f","Data Label","Global","User Defined","2","1"
"__C0environ","2410:0071","Data Label","Global","User Defined","1","1"
"__C0environ_2","2410:0073","Data Label","Global","User Defined","1","1"
"_env","2410:0075","Data Label","Global","User Defined","3","1"
"_envseg@","2410:0077","Data Label","Global","User Defined","4","1"
"_envSize@","2410:0079","Data Label","Global","User Defined","1","0"
"__psp","2410:007b","Data Label","Global","User Defined","9","0"
"DosVersion","2410:007d","Data Label","Global","User Defined","3","1"
"errno","2410:007f","Data Label","Global","User Defined","3","0"
"_StartTime","2410:0081","Data Label","Global","User Defined","1","0"
"_StartTime@+2","2410:0083","Data Label","Global","User Defined","1","0"
"_heapbase@","2410:0089","Data Label","Global","User Defined","3","1"
"_brklvl","2410:008b","Data Label","Global","User Defined","5","1"
"_heaptop","2410:008f","Data Label","Global","User Defined","4","1"
"__ovrbuffer","2410:043b","Data Label","Global","User Defined","2","0"
"__stklen","2410:043d","Data Label","Global","User Defined","3","0"
